program_id,name,description,tags_text
p_0016,Creating Dashboards and Storytelling with Tableau,"Leveraging the visualizations you created in the previous course, Visual Analytics with Tableau, you will create dashboards that help you identify the story within your data, and you will discover how to use Storypoints to create a powerful story to leave a lasting impression with your audience.  Yo",neuroscience Data Visualization Storytelling tableau software business analytics checklists software method of analytic tableaux javascript syntax audience data-science data-analysis
p_0017,Parallel programming,"With every smartphone and computer now boasting multiple processors, the use of functional ideas to facilitate parallel programming is becoming increasingly widespread. In this course, you'll learn the fundamentals of parallel programming, from task parallelism to data parallelism. In particular, yo",Data Structures parallel algorithm openfabrics alliance task parallelism unified parallel c Algorithms data parallelism scala programming parallel computing Computer Programming computer-science software-development
p_0018,Recommendation Systems with TensorFlow on GCP,"In this course, you'll apply your knowledge of classification models and embeddings to build a ML pipeline that functions as a recommendation engine.  � Devise a content-based recommendation engine � Implement a collaborative filtering recommendation engine � Build a hybrid recommendation engine wit",systems architecture Cloud Computing Google Cloud Platform Tensorflow Deep Learning Cloud Platforms Machine Learning matrices Artificial Neural Networks recommender systems data-science machine-learning
p_0019,The Changing Arctic,"What will I learn? After taking this course you will have an understanding of Arctic landscapes, how they were formed and how they are changing. You will also learn how scientists from countries around the North are working together to understand how these changes will affect the People of the North",Human Learning Geology curiosity methane Problem Solving plant biologist resource dam volatile organic compound life-sciences basic-science
p_0020,COVID-19 - A clinical update,"As an expert in infectious diseases, editor of the Journal of Infectious Diseases and author of the textbook Infectious Diseases: A clinical short course, McGraw-Hill April 2020, I have been concerned about the misinformation being shared about the COVID-19 epidemic. How did this disease develop? Wh",disease mechanical ventilation vaccine outbreak epidemic medical history intubation Epidemics patient social distancing life-sciences patient-care
p_0021,How to Create Text Effects in GIMP,"In this 1-hour long project-based course, you will learn how to add a myriad of text effects. You will learn how to make your text stand out from the background, how to add a border to your text and how to make a text outline. You will learn how to place an image inside text and how to place a gradi",pointing device gesture r&d management Gradient lambda lifting ordered pair english grammar top-down and bottom-up design standing ovation path (variable) project computer-science design-and-product
p_0022,Preparing for the Google Cloud Professional Data Engineer Exam,"From the course: ""The best way to prepare for the exam is to be competent in the skills required of the job.""  This course uses a top-down approach to recognize knowledge and skills already known, and to surface information and skill areas for additional preparation. You can use this course to help ",business requirements Cloud Computing Google Cloud Platform information engineering Cloud Platforms google cloud dataproc dataflow Databases bigquery Machine Learning information-technology cloud-computing
p_0023,Multiple Regression Analysis in Public Health,"Biostatistics is the application of statistical reasoning to the life sciences, and it's the key to unlocking the data gathered by researchers and the evidence presented in the scientific public health literature. In this course, you'll extend simple regression to the prediction of a single outcome ",Regression Analysis Regression public health Confounding interaction (statistics) Estimation linear regression Confidence Interval odds ratio Logistic Regression life-sciences health-informatics
p_0024,General Pathophysiology,"Dear listeners!  Warning: this course contains shocking materials and is not recommended for viewing to persons with weak psyche, minors and pregnant women.  The course describes subject and methods of Pathophysiology, its place within system of biomedical sciences and history.  It includes General ",medicine biomedical sciences microcirculation physiology endocrinology biochemistry inflammations pathophysiology pathology internal medicine life-sciences basic-science
p_0025,Population Health: Alternative Payment Models,"The way we currently pay our care providers lead to suboptimal outcomes and unnecessary spending. Consequently, we fail to maximize the value of our health care services. We need to change provider payment models in order to keep health care systems financial sustainability. Doing nothing is not an ",incentive Behavioral Economics loss aversion modeling enabling relative change and difference Financial Accounting desire Payments Risk life-sciences healthcare-management
p_0026,AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,"In this 1-hour long project-based course, you will learn how to create a Node.js RESTful API & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Express.js, or simply Express, a back end web application framework for Node.js framework to create your RESTful A",representational state transfer uniform resource locator Cloud Computing web application ordered pair hypertext transfer protocol virtual private server web application programming interfaces Switches information-technology cloud-computing
p_0027,"Philosophy, Science and Religion: Philosophy and Religion","Philosophy, Science and Religion mark three of the most fundamental modes of thinking about the world and our place in it. Are these modes incompatible? Put another way: is the intellectually responsible thing to do to �pick sides� and identify with one of these approaches at the exclusion of others",ordered pair arts and humanities virtue spirituality philosophy cognitive science bible belief religion evolution arts-and-humanities philosophy
p_0028,Poverty & Population: How Demographics Shape Policy,"This course has four modules, or foci.  The first is to understand the categories of social welfare�populations, income, earnings, and assets� and some related concepts that play a very large role in shaping policy decisions: unemployment, inflation, and the minimum wage.  The second deals with the ",education Billing political science oppression Population inflation unemployment market (economics) demography social work social-sciences governance-and-society
p_0029,Electrodynamics: Analysis of Electric Fields,"This course is a continuation of Electrodynamics: An Introduction. Here, we will cover different methods of calculating an electric field. In addition, we will introduce polarization, dielectrics, and how electric fields create dipoles.   Learners will  �\tBe able to apply symmetry and other tools t",colloid Chemical Engineering electronics equipotential high voltage physics physics experiments Electrical Engineering Studentized Residual energy physical-science-and-engineering electrical-engineering
p_0030,The Music of American English Pronunciation,"In this third course of The Pronunciation of American English specialization, you will learn and practice the ""music"" of American English, the features of pronunciation such as stress, rhythm, and intonation that will help improve your listening comprehension as well as your ability to communicate m",Receiving english grammar translation data clustering algorithms speech music grammar stress english language phonetics language-learning learning-english
p_0031,Fundamentals of Management,"Are you about to enter the workforce? Are you an emerging professional? Are you new to your role in the organization? All prospective new employees benefit from understanding management principles, roles and responsibilities, regardless of position.  Now you can acquire an in-depth understanding of ",control (management) Planning process Leadership and Management management theory process management leadership management process Change Management organizing (management) business leadership-and-management
p_0032,Advanced Speaking and Listening Project,Learners will present a well-organized academic speech on a topic in an academic field of the learner's choice. The learner will need to recall all of the skills learned in the previous three courses and complete several steps to complete the project. The learner will choose an academic topic and wi,project rapid serial visual presentation panel discussion Critical Thinking listening speech english language Language Learning presentation language language-learning learning-english
p_0033,Hybrid Cloud Service Mesh with Anthos,"This on-demand course equips students to understand and adopt Istio-based service-mesh with Anthos for centralized observability, traffic management, and service-level security.",authentication multiplexed transport layer security it service management authorization service discovery load balancing application layer access control intelligent network traffic management information-technology cloud-computing
p_0034,Dealing With Missing Data,"This course will cover the steps used in weighting sample surveys, including methods for adjusting for nonresponse and using data external to the survey for calibration.  Among the techniques discussed are adjustments using estimated response propensities, poststratification, raking, and general reg",Estimation Weighting population control sample size determination Surveying Missing Data Stata Regression coverage error sampling frame data-science data-analysis
p_0035,COBOL Programming with VSCode,"Professor Tak Auyeung of American River College, said it beautifully, �A programming language is not a fashion statement� it is used for a purpose. Whether it is to add new features, modify logic, create APIs to integrate it into other applications, or implement modern development practices, busines",ibm cobol numbers (spreadsheet) relative change and difference Computer Programming data type cobol reserved word Arithmetic Mainframe Continuous Function computer-science software-development
p_0036,Cryptography and Hashing Overview,"Continue learning about blockchain technology by diving into the nature of ownership and how the blockchain is one way to approach decentralized transaction handling. This course also demystifies cryptography and hashing, which are critical for authenticating users and guaranteeing transaction priva",Average Cryptography encryption hash function public-key cryptography string (computer science) verification and validation hashing password BlockChain computer-science algorithms
p_0037,Postman - Intro to APIs (without coding),"We use APIs everyday - when we check the news, when we log into online service - because APIs are used by many companies as a way to interact with their product or service. Being able understand and send API requests is helpful in many roles across the business - including product, marketing and dat",project mine Marketing news network news transfer protocol project Writing application programming interfaces uniform resource locator numbers (spreadsheet) interact information-technology data-management
p_0038,Protecting Business Innovations via Patent,"Protecting Business Innovations via Patent  Watch Course Overview:  https://youtu.be/mUja4iwbrTE  This course assumes no prior knowledge in law, business or engineering.  However, students with backgrounds in all three areas will find useful concepts or ideas in the course on how to protect business",service innovation Innovation Patent Law intellectual property ordered pair law utility Planning business process cost business business-strategy
p_0039,"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract","In this 1-hour long project-based course, you will learn how to collect and label images and use them to train a Tensorflow CNN (convolutional neural network) model to recognize relevant areas of (typeface) text in any image, video frame or frame from webcam video. You will learn how to extract imag",image processing openbsd optical character recognition digital image processing Python Programming Tensorflow region of interest object detection opencv Machine Learning data-science machine-learning
p_0040,Global Strategy I: How The Global Economy Works,"Starting in the late 1990s, �globalization� became a buzzword to describe the apparent integration of markets in the world economy. Many authors and pundits claimed that the world was converging towards a market-friendly democratic place, while gurus and consulting firms were not short of formulae a",relative change and difference economy competitiveness case study analysis foreign direct investment trading Economic Models emerging markets global business business-strategy
p_0041,Disability Inclusion in Education: Building Systems of Support,"Worldwide millions of children are not able to fully participate in schooling, and this is especially a problem for children with disabilities. In this course, we explore the support that teachers need in order to meet the needs of children with severe to profound hearing, visual and intellectual di",social justice Special Education Learning Disability education empowerment intellectual disability learning disabilities Causality teaching Child Psychology social-sciences education
p_0042,Introduction to Cybersecurity Tools & Cyber Attacks,"This course gives you the background needed to understand basic Cybersecurity.  You will learn the history of Cybersecurity, types and motives of cyber attacks to further your knowledge of current threats to organizations and individuals.  Key terminology, basic system concepts and tools will be exa",cyber-security regulation cyber security standards forensics security digital forensics cybercrime Cryptography Cyberattacks Leadership and Management penetration test information-technology cloud-computing
p_0043,Introduction to Cybersecurity Tools & Cyber Attacks,"This course gives you the background needed to understand basic Cybersecurity.  You will learn the history of Cybersecurity, types and motives of cyber attacks to further your knowledge of current threats to organizations and individuals.  Key terminology, basic system concepts and tools will be exa",cyber-security regulation cyber security standards forensics security digital forensics cybercrime Cryptography Cyberattacks Leadership and Management penetration test information-technology cloud-computing
p_0044,"Fundamentals of Funding, with Goldman Sachs 10,000 Women","This course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level.  In this course, you will explore how acquisition and funding applications can support and expand your business opportunity.   You will ",Communication valuation of options funds online learning Banking Loan Repayment Private Equity investment banking Finance funding options business entrepreneurship
p_0045,Foundations of Objective-C App Development,An introduction to the Objective-C programming language.  This will prepare you for more extensive iOS app development and build a foundation for Advanced iOS development topics.  Objective-C programming requires a Mac laptop or desktop computer.  An iOS device is optional if the learner is willing ,iOS Development printf format string xcode c programming Computer Programming euler's totient function objective-c Swift Programming c++ ordered pair computer-science mobile-and-web-development
p_0046,Programming Mobile Applications for Android Handheld Systems: Part 2,"This course introduces you to the design and implementation of Android applications for mobile devices. You will build upon concepts from the prior course, including handling notifications, using multimedia and graphics and incorporating touch and gestures into your apps.",notification area interaction technique Android Development Software Engineering mobile app shell (computing) widget (gui) php graphical user interface elements Databases computer-science mobile-and-web-development
p_0047,Analyzing Market Attractiveness Using Creately,"By the end of this 2 hour-long guided project, you will be fluent in identifying and analyzing business markets and how to discover their attractiveness to new products and services. This project is designed to engage and harness your visionary and exploratory abilities. You will be using proven mod",Financial Analysis market (economics) Strategy Business Strategy attractiveness competitiveness supply chain business plan porter's five forces analysis analysis business business-strategy
p_0048,Personal Leadership Development Planning and Leading High Performing Teams,"An actionable leadership improvement plan enables you to leverage strengths and close the gaps on weaknesses. In this course, you will build your own plan that you can put into practice immediately and realize goals within the next two years. It lays the foundation for an evergreen process of select",personal advertisement performance Leadership Development self-assessment delegation smart criteria motivation leadership empowerment competence (human resources) business leadership-and-management
p_0049,Integrating Scripts for Scene Interactions,"Welcome to Integrating Scripts for Scene Interactions, the third course in the Unity Certified 3D Artist Specialization from Unity Technologies.  The courses in this series will help you prepare for the Unity Certified 3D Artist exam, the professional certification for entry- to mid-level Unity arti",Switches interactivity experience ordered pair video game development Computer Programming computer animation project User Experience Visual Design computer-science design-and-product
p_0050,Voices of Social Change,"At a time of political unrest, environmental uncertainty, and lingering inequalities, young social change-makers are leading the way to counter the today�s challenges. What are you doing to create sustainable, positive change?  Voices of Social Change is a free online short course co-designed and de",social network process Planning friendship takeover business process relative change and difference design thinking social work brainstorming personal-development personal-development
p_0051,"Managing Asthma, Allergies, Diabetes, and Seizures in School","Welcome to School Health specialization: Managing Asthma, Anaphylaxis, Food Allergies, Diabetes, and Seizures in School course. In this course, you will learn about these common medical issues students face and how to best support students who suffer from them. We will also take a holistic look at h",health care first aid medication asthma allergy glucose emergency emergency management symptoms Leadership and Management life-sciences patient-care
p_0052,Global Challenges in Business Capstone,The capstone for the Global Challenges in Business specialization will provide a learning experience that integrates across all the courses within that specialization. It will involve analysis of a situation concerning an actual business with a view to work toward a global stakeholder engagement bus,supply chain global pricing market segmentation go to market market (economics) corporate social responsibility strategic management Target Market added value business business-essentials
p_0053,Severe to Profound Intellectual Disability: Circles of Care and Education,"This course is about caring for and educating children (and youth) with severe to profound intellectual disability. We use the idea of 'circles' to position the child at the center of the many levels of support needed. Around the child are circles of care and education - such as the parents, family,",lifelong learning process Special Education intellectual disability developmental disabilities education child intellectual autism facilitation life-sciences healthcare-management
p_0054,Teaching Children with Visual Impairment: Creating Empowering Classrooms,"In the education of children with visual impairment, there is at present a global movement away from segregated special schooling, and towards inclusive neighbourhood schools. Inclusion provides an opportunity for everyone, teachers as well as learners, to become more acquainted about life with visu",child development education teaching peer support Special Education experience learning styles psychosocial assistive technology child social-sciences education
p_0055,Intercultural Communication and Conflict Resolution,"Intercultural Communication and Conflict Resolution is a growing area of importance considering the pace and volume of global transactions.  The ease of global communication using technology, the abundance of cheaper transportation costs, and the frequency of businesses using cross-border talent is ",relative change and difference international relations psychological first aid cross-cultural communication Planning Office Administration intercultural communication Communication Culture conflict resolution business business-essentials
p_0056,Prediction and Control with Function Approximation,"In this course, you will learn how to solve problems with large, high-dimensional, and potentially infinite state spaces. You will see that estimating value functions can be cast as a supervised learning problem---function approximation---allowing you to build agents that carefully balance generaliz",reinforcement Gradient gradient descent Reinforcement Learning approximation markov decision process euler's totient function function approximation Human Learning table of keyboard shortcuts data-science machine-learning
p_0057,Advanced Neurobiology I,"Hello everyone! Welcome to Advanced neurobiology!  Neuroscience is a wonderful branch of science on how our brain perceives the external world, how our brain thinks, how our brain responds to the outside of the world, and how during disease or aging the neuronal connections deteriorate. We�re trying",action potential biochemistry neuron (software) anatomy pharmacology neurobiology neuroscience biology alzheimer's disease molecular biology life-sciences basic-science
p_0058,Foundations of Teaching for Learning: Introduction,"The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight",psychology Human Learning interpersonal relationships educational practices teaching teaching method proactivity thought child development Planning social-sciences education
p_0059,Change Leadership: Developing Force Field Analysis in Miro,"By the end of this guided project, you will be fluent in identifying and mapping forces for Force Field Analysis using a hands-on example. This will enable you to map and rate the forces which is important in for validating, preparing, and managing change in professional and personal life.   Change ",business case personal advertisement Mapping Planning project Map e-nable Change Management Writing enabling business business-strategy
p_0060,Lesson | Telephone Language,"This lesson is part of a full course, Speak English Professionally: In Person, Online & On the Phone. Take this lesson to get a short tutorial on the learning objectives covered. To dive deeper into this topic, take the full course.   By the end of this lesson, you will be able to identify telephone",speech language Marketing law B2B Marketing Digital Marketing english language online learning community Accounting E-Commerce language-learning learning-english
p_0061,Python Tricks and Hacks for Productivity,"By the end of this project, you are going to be an more complete Python user, and will have an better grasp of several techniques and tips which increases coding speed and conciseness. This will be useful for anyone who uses Python regularly, including data scientists, software engineers, technician",Computer Programming Transpose concision Python Programming Software Engineering grasp project Operations Management progress bar dict computer-science software-development
p_0062,Privacy in the USA,After having followed Privacy in the Western world you have become acquainted with the overall global legal system and the origins of privacy as a concept as well as privacy as a (human) right. This course deals with the American legal system to protect privacy.  In the USA privacy is protected thro,american law personally identifiable information security privacy data protection telecommunications litigation public relations financial privacy stemming law social-sciences law
p_0063,Japanese for beginners 2,"Japanese language has become extremely popular among learners in recent years, since it is the best way to explore one of the richest and most mysterious cultures of the modern East. This course is  aimed at those who are interested in understanding Japanese way of thinking and view of the world thr",shopping japanese language grammar Writing materials linguistics listening korean language process video game development language-learning other-languages
p_0064,Introduction to Recommender Systems:  Non-Personalized and Content-Based,"This course, which is designed to serve as the first course in the Recommender Systems specialization, introduces the concept of recommender systems, reviews several examples in detail, and leads you through non-personalized recommendation using summary statistics and product associations, basic ste",demography Tf Idf Summary Statistics recommender systems information retrieval recursively enumerable set personalization preference tracking Machine Learning data-science machine-learning
p_0065,Global Disease Masterclass: Global Disease Distribution,"The Global Diseases Masterclass is part of the full-degree Masters of Public Health that the School of Public Health. By the end of this specialisation, our aim is that students will be able to critically apply epidemiological concepts to major global diseases and be able to appraise and recommend p",global Determinants General Statistics Risk Studentized Residual health data risk factors Risk Factor Chi-Squared Distribution disease life-sciences public-health
p_0066,Age of Cathedrals,"An introduction to some of the most astonishing architectural monuments the world has ever known�Gothic cathedrals.  We shall study the art, literature, intellectual life, economics, and new social arrangements that arose in the shadow of the cathedrals and that were such an important part of the re",architecture art bible Art History glassing middle age ageing mother Autoregressive Conditional Heteroskedasticity history arts-and-humanities history
p_0067,Smart Contracts,"This second course of the Blockchain specialization will help you design, code, deploy and execute a smart contract � the computational element of the blockchain technology. Smart contracts allow for implementing user-defined operations of arbitrary complexity that are not possible through plain cry",client (computing) BlockChain access modifiers interfaces tracing (software) teleprocessing monitor smart contract deployment environment ethereum solidity computer-science software-development
p_0068,Create an FPS Weapon in Unity (Part 1 - Revolver),"In this one-hour, project-based course, you'll learn how to set up a revolver for a first-person shooter. This project covers configuring a gun prefab, enabling your FPS player to pick up, hold, fire and drop a gun with keyboard and mouse inputs, and adding an aiming reticle.  The guided project wil",gamification of learning project process .properties hold java annotation source lines of code e-nable teaching method parenting computer-science software-development
p_0069,Homeland Security and Cybersecurity Future,"This course takes a look at the future of cybersecurity with respect to what is being done to lessen the potential for catastrophic destruction resulting from cyber attack on critical infrastructure.  In this respect, we take a short survey of potential technological solutions and response options. ",Leadership and Management crime Risk criminology security computer and network surveillance no silver bullet trade-off cybercrime risk analysis social-sciences governance-and-society
p_0070,Healthcare Consumerism and Implication for Care Delivery,"In this course we will examine the changing role of the consumer in healthcare. Consumers are asking for more accountability in how healthcare is delivered and paid for. Healthcare professionals must make sure that they are delivering high quality, personalized care.   Some of the topics we'll cover",Healthcare Management emotion insurance Change Management voice of the customer Leadership and Management nutrition fee-for-service Human Learning ecosystems life-sciences healthcare-management
p_0071,Magna Carta and its Legacies: Freedom and protest,"This course examines the roles that Magna Carta has played historically as well as the importance of Magna Carta today. It aims to equip students with a critical understanding of Magna Carta and its significance around the globe. Students will find out what Magna Carta is, how it came about, and why",land law go (programming language) english language historiography history of ideas authority constitution law history common law arts-and-humanities history
p_0072,Converter Circuits,"This course can also be taken for academic credit as ECEA 5701, part of CU Boulder�s Master of Science in Electrical Engineering degree.  This course introduces more Advanced concepts of switched-mode converter circuits. Realization of the power semiconductors in inverters or in converters having bi",modeling analysis sensitivity index topology electronics Electrical Engineering Switches simulation power electronics Electronic Design physical-science-and-engineering electrical-engineering
p_0073,Predictive Modeling and Analytics,"Welcome to the second course in the Data Analytics for Business specialization!   This course will introduce you to some of the most widely used predictive modeling techniques and their core principles. By taking this course, you will form a solid foundation of predictive analytics, which refers to ",Logistic Regression analytics predictive analytics Regression Data Analysis Regression Analysis supply chain analysis linear regression predictive modelling data-science data-analysis
p_0074,Animals and Institutions,"This course explores animals within the context of the functional relationships that sociologists call �institutions.� We first examine the use of animals in laboratory science. We then examine the controversial transformation of animals into �livestock� and ""meat."" We also explore the perspectives ",livestock animal veterinary veterinary medicine captivity dieting sports animal science medicine evaluation social-sciences governance-and-society
p_0075,ART of the MOOC: Public Art and Pedagogy,"Students of this course may try their hand at their own public art interventions, or simply focus on learning from the theory of public practice and its recent history. Designed by artist and Duke professor, Pedro Lasch, and co-taught by Creative Time artistic director, Nato Thompson, this course pr",educational entertainment level of analysis history of rock art therapy history art case study interview Critical Thinking media & citizenship arts-and-humanities music-and-art
p_0076,Genetics and Society: A Course for Educators,"How have advances in genetics affected society? What do we need to know to make ethical decisions about genetic technologies? This course includes the study of cloning, genetic enhancement, and ownership of genetic information. Course participants will acquire the tools to explore the ethics of mode",biology genetically modified organisms medicine genetics genomics agriculture stem cell history of genetics dna profiling comparative genomics life-sciences basic-science
p_0077,Russian History: from Lenin to Putin,"In this course, Peter Kenez, Professor Emeritus at UC Santa Cruz, explains the events of modern Russian history and introduces its most significant actors�from Vladimir Lenin to Vladimir Putin.",foreign policy Russian Note Taking market price Art History latex essay writing arts and humanities history war arts-and-humanities history
p_0078,Packet Switching Networks and Algorithms,"In this course, we deal with the general issues regarding packet switching networks. We discuss packet networks from two perspectives. One perspective involves external view of the network, and is concerned with services that the network provides to the transport layer that operates above it at the ",packet switching traffic management network layer routing random early detection network topology token bucket routing protocol topology open shortest path first computer-science computer-security-and-networks
p_0079,Transgender Medicine for General Medical Providers,The course is a comprehensive set of didactic lectures surveying fundamentals of transgender medical and surgical treatment.  The material is meant to provide the student with core knowledge that is essential for current primary care providers caring for transgender patients.  There are 10 modules l,therapy Medical Practice behavior therapy Medical Statistics medicine good clinical practice Surgery hormone replacement therapy hormone women's health life-sciences patient-care
p_0080,Epigenetic Control of Gene Expression,"While the human genome sequence has transformed our understanding of human biology, it isn�t just the sequence of your DNA that matters, but also how you use it! How are some genes activated and others are silenced? How is this controlled? The answer is epigenetics.    Epigenetics has been a hot top",Cancer reproductive technology Dna Methylation assisted reproductive technology gene expression DNA gene genetics stem cell Cancer Epigenetics life-sciences basic-science
p_0081,Successful Interviewing,"The goal of hiring managers is not just to hire people who need a job. It�s to hire people who believe in their organization, its mission and the work that�s involved in the job position. Every hiring manager knows: Hire people to do a job and they�ll work for your money. Hire people who believe in ",Strategy canned response show me! interview career technology strategy experience english language speech self-assessment language-learning learning-english
p_0082,The hidden value � Lean in manufacturing and services,"Lean is a powerful methodology that enables managers and employees to shift their mindset and helps companies to keep their business sustainable by creating competitive advantage. Today, in an increasingly complex and dynamic world, where companies struggle to maintain competitive advantage, Lean is",Kaizen Mapping value stream mapping manufacturing process management process lean manufacturing lean thinking streams thought Lean Methods business business-essentials
p_0083,Mastering SQL Joins,"In this 2-hour long project-based course, you will understand how to use SQL joins like INNER JOIN, LEFT JOIN, and RIGHT JOIN to get a desired result set. In addition, you will learn how to use SQL Joins with the WHERE clause and with aggregate functions. By extension, you will learn how to join mor",aggregate function project employment sorting more than two modulo operation Data Analysis euler's totient function project mine ascendency data-science data-analysis
p_0084,Create a Database with the Modeling Tool in MySQL Workbench,"In this course you will use the Modeling and Design Tool in MySQL Workbench to design and create a multiple-table relational database. As a DBMS (database management system), MySQL is used by many organizations for managing a variety of types and sizes of databases. MySQL Workbench acts as an integr",Databases java annotation integrated development environments mysql database management systems user interface mysql workbench table (database) relational database Database Design information-technology data-management
